retargeter,safety,n_steps,safety_latency_mean_ms,safety_latency_p95_ms,acceptance_rate,dropped_rate,hold_steps,stop_steps,recovering_steps,recovery_time_sec,intervention_pct,mean_intervention_magnitude,solver_failure_count,unsafe_accepted_count,min_hard_clearance_m,min_margin_clearance_m,ee_path_length_m,orientation_alignment_rad,direction_temporal_variation_rad,trajectory,replicate,input_hash
shoulder_relative,reject,80,0.0013768181851411135,0.0016059998415585142,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.2588216996819622,1.591465819795957,0.08055365778435367,horizontal_sweep,17,26144b426aae9b86aec45d41514b815fab3c472ce45eeeeb33e642d68ffef3f9
shoulder_relative,reject,80,0.0012582337656969283,0.001427999904990429,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.2588216996819622,1.591465819795957,0.08055365778435367,horizontal_sweep,18,26144b426aae9b86aec45d41514b815fab3c472ce45eeeeb33e642d68ffef3f9
shoulder_relative,reject,80,0.0013466753396689408,0.0015330001588154119,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.2588216996819622,1.591465819795957,0.08055365778435367,horizontal_sweep,19,26144b426aae9b86aec45d41514b815fab3c472ce45eeeeb33e642d68ffef3f9
shoulder_relative,reject,80,0.0012348441664294292,0.0013630001376441214,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.2588216996819622,1.591465819795957,0.08055365778435367,horizontal_sweep,20,26144b426aae9b86aec45d41514b815fab3c472ce45eeeeb33e642d68ffef3f9
shoulder_relative,reject,80,0.0013198052281997615,0.0014799998098169453,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.2588216996819622,1.591465819795957,0.08055365778435367,horizontal_sweep,21,26144b426aae9b86aec45d41514b815fab3c472ce45eeeeb33e642d68ffef3f9
shoulder_relative,reject,80,0.0012952337996254058,0.00145800004247576,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.2588216996819622,1.591465819795957,0.08055365778435367,horizontal_sweep,22,26144b426aae9b86aec45d41514b815fab3c472ce45eeeeb33e642d68ffef3f9
shoulder_relative,reject,80,0.0012865844223302087,0.0013990002116770484,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.2588216996819622,1.591465819795957,0.08055365778435367,horizontal_sweep,23,26144b426aae9b86aec45d41514b815fab3c472ce45eeeeb33e642d68ffef3f9
shoulder_relative,reject,80,0.0013211688088017287,0.0014689999261463527,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.2588216996819622,1.591465819795957,0.08055365778435367,horizontal_sweep,24,26144b426aae9b86aec45d41514b815fab3c472ce45eeeeb33e642d68ffef3f9
shoulder_relative,reject,80,0.001305545467474005,0.001455000074201962,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.2588216996819622,1.591465819795957,0.08055365778435367,horizontal_sweep,25,26144b426aae9b86aec45d41514b815fab3c472ce45eeeeb33e642d68ffef3f9
shoulder_relative,reject,80,0.0013781948116768224,0.0016059998415585142,1.0,0.0,0,0,0,nan,0.0,0.0,0,0,nan,nan,0.2588216996819622,1.591465819795957,0.08055365778435367,horizontal_sweep,26,26144b426aae9b86aec45d41514b815fab3c472ce45eeeeb33e642d68ffef3f9
